CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-0.5268929630322348,0.20432386884691053,-0.9626691998027856,-0.27259856706992697,-0.3422804208333699,-0.33481784100422685,0.19519450773237843,-0.32199344129143326,-0.37898538849056806,-0.23983068498992963,-0.31217600603634793,0.5120577594026284,-1.0823363064511793,0.030008947942187267
-0.5181355808944328,-0.5774041818368083,-0.29810062533854914,-0.27259856706992697,-0.384216473758067,-0.340481001675109,0.6094507087912663,-0.18642997193572972,-0.37406753942209015,-0.5389512636217003,-0.283604137841133,0.5120577594026284,-0.39574710080739883,-0.25858768392956377
-0.5181439252318676,-0.5774041818368083,-0.29810062533854914,-0.27259856706992697,-0.384216473758067,-0.31238584094423927,0.07122002420380615,-0.18642997193572972,-0.37406753942209015,-0.5389512636217003,-0.283604137841133,0.47954939786149564,-1.2391295144707926,1.3166689317037452
-0.5160244635234333,-0.5774041818368083,-0.9808191818784897,-0.27259856706992697,-0.3909019314706999,-0.3192625360445962,-0.39141646311013434,-0.01717269763242247,-0.3691496903536122,-0.6497366631149488,-0.2733182652908556,0.4939265602138395,-1.4190290899880331,1.160345756106546
-0.500720948668046,-0.5774041818368083,-0.9808191818784897,-0.27259856706992697,-0.3909019314706999,-0.31378324422666476,-0.1374199602711081,-0.01717269763242247,-0.3691496903536122,-0.6497366631149488,-0.2733182652908556,0.5120577594026284,-1.0245703877071113,1.4970418266235896
-0.5170758500402157,-0.5774041818368083,-0.9808191818784897,-0.27259856706992697,-0.3909019314706999,-0.34015003773979774,-0.0013504051787726866,-0.01717269763242247,-0.3691496903536122,-0.6497366631149488,-0.2733182652908556,0.4898530308806755,-1.0443758455622203,0.5951773520243666
-0.4926936960557873,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.3555214738464778,0.23752725820554918,-0.09471481663339884,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.5016742532592694,0.1472525353868408,-0.10226450833236554
-0.4692210748517499,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.34963767055205486,1.1295387860330812,-0.03443690869961214,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.5120577594026284,1.2563581752729474,0.4027795974431994
-0.44139688167547453,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.36953228044132247,1.247465733779772,-0.014096978740416459,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.4300280608700895,3.0355484725902437,-0.8718555266570353
-0.45858621679112227,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.35581566401119896,0.8211144611571213,0.06472797778838169,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.43066704586352683,0.9180149369148349,-0.5832588947852843
-0.4357018713762369,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.34209904758107534,1.0751109639961471,0.026799263411583563,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.47707333101192534,1.4709173020366288,-1.0522284215768798
-0.4805193077384426,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.3556317951582482,0.7304014244288978,0.008252214816572241,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.5120577594026284,0.28589074037260415,-0.5832588947852843
-0.49040317542994005,-0.03453747997311467,-0.18640842794960183,-0.27259856706992697,-0.35078918519490265,-0.3600446476290654,-0.5970326796941077,-0.11165445435017587,-0.35931399221665644,-0.1567416353699933,-0.31331888076415654,0.46093895992762857,0.6886017167598217,-0.24656282426824105
-0.26678327651525924,-0.5774041818368083,-0.14871231133083204,-0.27259856706992697,-0.3422804208333699,-0.35783822139365684,0.09238639944039152,-0.22655342039627097,-0.3642318412851343,-0.17889871526864298,-0.24703214655125783,0.5120577594026284,-0.5409871250781987,-0.4028859998654397
-0.2633620981669993,-0.5774041818368083,-0.14871231133083204,-0.27259856706992697,-0.3422804208333699,-0.35243247711690573,0.7787817106839502,-0.2645130465207274,-0.3642318412851343,-0.17889871526864298,-0.24703214655125783,0.3772319257873159,-0.21089616082638116,-0.6674329124145449
